country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
India,2.315352004,2.319165148,2.310672676,2.287001069,2.252670746,2.215705818,2.180266432,2.144181704,2.108505911,2.073447777,2.036558784,1.999814467,1.967829193,1.941978838,1.919782703,1.89839515,1.874188288,1.845496823,1.810901033,1.772114444,1.732176951,1.692964725,1.653868187,1.615377319,1.577221429,1.540257607,1.502933906,1.462900688,1.419375347,1.374351006,1.328401097,1.285832037,1.251190626,1.226730296
Indonesia,2.337684278,2.309495098,2.26409934,2.197361127,2.117012344,2.033475829,1.956302519,1.88740616,1.830175379,1.781452031,1.736366776,1.690455279,1.643386472,1.593879441,1.544134194,1.496065315,1.45353948,1.419304731,1.395101264,1.378630019,1.365255918,1.352808213,1.342892983,1.334985753,1.328581128,1.321272163,1.31419028,1.310351365,1.310373377,1.311455309,1.313747333,1.310610019,1.293982944,1.260193359
Iraq,2.877790211,2.78641886,2.68197875,2.562382309,2.444302588,2.320613831,2.232764692,2.233922164,2.344013954,2.523954628,2.714507661,2.872024807,2.996699086,3.07501322,3.115557053,3.153905435,3.183577133,3.166818747,3.09792402,2.997784923,2.901591622,2.823714155,2.752720887,2.69251865,2.648814443,2.588194737,2.54917716,2.602733692,2.768226684,2.994671384,3.006160778,3.006160648,3.006159451,3.006160834
Italy,0.12005432,0.07408186,0.036294637,0.022350913,0.028899939,0.005449282,0.01020512,0.048320597,0.075009005,0.083708573,0.069231189,0.067924433,0.061135853,0.020372074,0.001588562,0.028104408,0.05290695,0.028774016,0.016820844,0.045303631,0.056167601,0.148916429,0.444507313,0.647182705,0.491389108,0.300559689,0.504933687,0.662469253,0.45561345,0.307591222,0.171978291,0.26954124,1.159251117,0.917504096
Japan,0.738816652,0.678537273,0.681511043,0.634413291,0.611368674,0.609299871,0.491825133,0.426638544,0.40939466,0.341370597,0.310355946,0.248237081,0.246819413,0.340685789,0.381789601,0.25318888,0.238271218,0.27172961,0.182586374,0.167275578,0.240952588,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.197526884,-0.200320559,-0.174866976,-0.162550166
Korea,1.435454835,1.553415422,1.621736528,1.614631505,1.556963975,1.484745087,1.43548496,1.417209806,1.442229761,1.491501379,1.551965304,1.585946467,1.5624809,1.464749626,1.31875825,1.15505606,1.013698253,0.9137639506,0.8728166182,0.8727514732,0.8858244234,0.8840212957,0.8613841155,0.8075184315,0.7334843902,0.6553495436,0.5908609461,0.5454749913,0.5264861628,0.5266797998,0.5326616826,0.5344471456,0.5330439952,0.5250833253
Malaysia,2.472861618,2.531092331,2.60200429,2.686138808,2.771899332,2.86035551,2.926429597,2.940923807,2.893613963,2.806747754,2.701818788,2.610571931,2.550227446,2.532187888,2.537955261,2.551006468,2.54137954,2.490731707,2.388493238,2.254756803,2.11327632,1.990896614,1.89749033,1.843038812,1.815480306,1.793868412,1.764630625,1.731284063,1.690201436,1.643919239,1.599788019,1.559092963,1.516364769,1.470952411
Norway,0.3440796561,0.3672782801,0.3310602924,0.2822026728,0.2994715004,0.3566886437,0.4680495468,0.5379227593,0.4128075348,0.3441514128,0.476503585,0.5771802681,0.5952293302,0.5693882278,0.5191255198,0.5068816828,0.542219936,0.5954103433,0.6847594334,0.6490448212,0.5060469106,0.5392908051,0.586532692,0.5909309397,0.6810729642,0.8053927392,1.034734515,1.246333015,1.261127289,1.24566618,1.297189391,1.313440989,1.209141589,1.121001306
Portugal,0.8670807034,0.6113321014,0.4639650438,0.3845530798,0.2735387519,0.09095375772,-0.02694543864,-0.1039519953,-0.1459204708,-0.2179484797,-0.2304817543,-0.07774926671,0.1223165955,0.269089468,0.3462039383,0.3759961873,0.446460605,0.5053892334,0.5656304424,0.7028599533,0.7052306373,0.5476679397,0.3754114149,0.2391289896,0.1855322667,0.1803324415,0.1963043845,0.1441912799,0.09533085924,0.04591003672,-0.1470848786,-0.4054217877,-0.548815211,-0.5391904668
Singapore,4.807689009,4.388593633,1.298744662,1.890221986,0.1366451707,-0.09449055706,1.503833058,2.537773867,2.935743735,3.889093607,2.845482865,3.004256395,2.529806747,3.136586932,3.037813485,4.064318468,3.357442195,3.397212277,0.799148451,1.732042233,2.697355843,0.9126398058,-1.474532842,1.251916673,2.350511289,3.129389156,4.166002864,5.321517083,3.015949915,1.771832879,2.084902456,2.45339033,1.619308099,1.298440178
South Africa,2.431239356,2.506606645,2.563064564,2.594750379,2.596738439,2.564922712,2.495860395,2.386546388,2.234222649,2.036073812,2.061301631,2.086528098,2.111753549,2.136984306,2.162208672,2.225178393,2.288146817,2.3511164,2.414085078,2.477052188,2.046501927,1.40757258,1.266875492,1.293787427,1.320896646,1.348208381,1.375747197,1.403526813,1.431560682,1.459867637,1.488461432,1.517358493,1.546573579,1.57611958
United States,0.9814154373,0.9533175662,0.9143785134,0.8658173363,0.8861290409,0.9241641571,0.893829201,0.9079990402,0.9444055554,1.12965052,1.336260741,1.386885692,1.31868,1.226296089,1.190787091,1.16341162,1.203960297,1.165714526,1.148340047,1.112768997,0.9897413822,0.9277974857,0.8594817128,0.9254839689,0.9217131672,0.9642539171,0.9510552428,0.9458652873,0.8766512988,0.8360543118,0.7646775994,0.7639274098,0.7565582079,0.7427461438
Vietnam,1.885282084,1.748090416,1.723351832,1.813827089,2.017913358,2.318832542,2.460800079,2.420666458,2.360364819,1.900345205,1.839626062,1.780101171,1.729871819,1.680125519,1.639863103,1.600009883,1.560009828,1.534986657,1.500031414,1.341154893,1.266693587,1.159864341,1.162101037,1.197021404,1.166721103,1.109343538,1.083161816,1.063214084,1.059119876,1.049400377,1.061609762,1.074219517,1.064362311,1.074206788
